za_nr;version;doi;lfd;gewicht;datum;bik;bl;wo;s1;s2;s3;s4;s5;s6;s7;s8;s9;s10;V1;V2;V3;V4;V5;V6;V7_1;V7_2;V7_3;V7_4;V7_5;V7_6;V7_7;V7_8;V10_1;V10_2;V10_3;V10_4;V10_5;V12_1;V12_2;V12_3;V12_4;V12_5;V12_6
6609;1.0.0 (2016-01-11);doi:10.4232/1.12432;1151843;,451208;2015/05/12;500000 und mehr;Schleswig-Holstein;West;w;59;Studium;ja;zwei;zwei;Bündnis `90, Die Grünen;ja;5000 Euro und mehr;Festnetz;etwa so viel wie die anderen europäischen Staaten auch;mehr tun;stärker als bisher unterstützen sollte,;ihre gemeinsame Asylpolitik überarbeiten;eher gut;nein;stimme eher nicht zu;stimme voll und ganz zu;stimme eher zu;stimme eher zu;stimme gar nicht zu;stimme eher nicht zu;stimme eher nicht zu;weiß nicht, keine Angabe;habe gemacht;kann ich mir nicht vorstellen zu tun;kann ich mir vorstellen zu tun;kann ich mir vorstellen zu tun;weiß nicht, keine Angabe;berechtigter Grund;kein berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund
6609;1.0.0 (2016-01-11);doi:10.4232/1.12432;1211138;,276932;2015/05/12;50000 bis 100000;Schleswig-Holstein;West;w;54;Studium;ja;zwei;zwei;weiß nicht, keine Angabe;ja;keine Angabe;Festnetz;weiß nicht, keine Angabe;mehr tun;stärker als bisher unterstützen sollte,;weiß nicht, keine Angabe;eher schlecht;ja;stimme eher nicht zu;stimme voll und ganz zu;stimme voll und ganz zu;weiß nicht, keine Angabe;stimme eher zu;stimme eher zu;stimme eher zu;weiß nicht, keine Angabe;kann ich mir vorstellen zu tun;kann ich mir vorstellen zu tun;kann ich mir nicht vorstellen zu tun;weiß nicht, keine Angabe;habe gemacht;berechtigter Grund;kein berechtigter Grund;berechtigter Grund;berechtigter Grund;kein berechtigter Grund;berechtigter Grund
6609;1.0.0 (2016-01-11);doi:10.4232/1.12432;1524429;,812569;2015/05/12;500000 und mehr;Hamburg;West;w;76;Mittlerer Bildungsabschl;nein;zwei;zwei;CDU/CSU;ja;3000 bis unter 3500;Festnetz;mehr;mehr tun;stärker als bisher unterstützen sollte,;ihre gemeinsame Asylpolitik überarbeiten;eher schlecht;nein;stimme voll und ganz zu;stimme eher nicht zu;stimme eher nicht zu;stimme voll und ganz zu;stimme eher nicht zu;stimme eher nicht zu;stimme eher nicht zu;stimme eher nicht zu;kann ich mir nicht vorstellen zu tun;kann ich mir nicht vorstellen zu tun;kann ich mir nicht vorstellen zu tun;kann ich mir nicht vorstellen zu tun;kann ich mir nicht vorstellen zu tun;berechtigter Grund;kein berechtigter Grund;kein berechtigter Grund;kein berechtigter Grund;kein berechtigter Grund;berechtigter Grund
6609;1.0.0 (2016-01-11);doi:10.4232/1.12432;1526344;2,20242;2015/05/12;500000 und mehr;Hamburg;West;m;14;Schüler;nein;zwei;zwei; ; ;keine Angabe;Festnetz;mehr;mehr tun;stärker als bisher unterstützen sollte,;weiß nicht, keine Angabe;eher schlecht;weiß nicht, keine Angabe;stimme eher zu;stimme voll und ganz zu;stimme eher nicht zu;stimme eher nicht zu;stimme eher nicht zu;stimme eher nicht zu;stimme voll und ganz zu;stimme eher nicht zu;kann ich mir vorstellen zu tun;kann ich mir vorstellen zu tun;kann ich mir vorstellen zu tun;kann ich mir vorstellen zu tun;kann ich mir vorstellen zu tun;berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund
6609;1.0.0 (2016-01-11);doi:10.4232/1.12432;1721489;,338405;2015/05/12;500000 und mehr;Hamburg;West;w;52;Mittlerer Bildungsabschl;ja;eine Person;eine Person;SPD;ja;1500 bis unter 2000;Festnetz;mehr;so viel tun, wie bisher;oder sollte Deutschland diese Länder nicht stärker unterstützen?;ihre gemeinsame Asylpolitik überarbeiten;sehr schlecht;ja;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme eher nicht zu;stimme voll und ganz zu;stimme eher nicht zu;stimme voll und ganz zu;stimme voll und ganz zu;habe gemacht;kann ich mir vorstellen zu tun;kann ich mir nicht vorstellen zu tun;kann ich mir vorstellen zu tun;kann ich mir nicht vorstellen zu tun;berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund
6609;1.0.0 (2016-01-11);doi:10.4232/1.12432;1840524;,563213;2015/05/12;500000 und mehr;Hamburg;West;m;47;Abitur;ja;vier;zwei;weiß nicht, keine Angabe;ja;2000 bis unter 2500;Festnetz;etwa so viel wie die anderen europäischen Staaten auch;weniger tun;oder sollte Deutschland diese Länder nicht stärker unterstützen?;ihre gemeinsame Asylpolitik überarbeiten;eher gut;ja;stimme eher zu;stimme gar nicht zu;stimme gar nicht zu;stimme gar nicht zu;stimme eher zu;stimme eher zu;stimme voll und ganz zu;stimme eher nicht zu;kann ich mir nicht vorstellen zu tun;kann ich mir vorstellen zu tun;kann ich mir nicht vorstellen zu tun;kann ich mir vorstellen zu tun;kann ich mir vorstellen zu tun;berechtigter Grund;kein berechtigter Grund;berechtigter Grund;kein berechtigter Grund;berechtigter Grund;berechtigter Grund
6609;1.0.0 (2016-01-11);doi:10.4232/1.12432;1965009;,237526;2015/05/12;500000 und mehr;Hamburg;West;w;35;Studium;ja;zwei;eine Person;SPD;ja;1500 bis unter 2000;Festnetz;weiß nicht, keine Angabe;so viel tun, wie bisher;stärker als bisher unterstützen sollte,;weiß nicht, keine Angabe;sehr schlecht;nein;stimme eher nicht zu;stimme eher nicht zu;stimme eher zu;stimme eher nicht zu;stimme eher nicht zu;stimme eher nicht zu;stimme eher zu;stimme eher nicht zu;kann ich mir nicht vorstellen zu tun;kann ich mir vorstellen zu tun;kann ich mir nicht vorstellen zu tun;kann ich mir nicht vorstellen zu tun;kann ich mir nicht vorstellen zu tun;berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund
6609;1.0.0 (2016-01-11);doi:10.4232/1.12432;2025779;,617049;2015/05/12;500000 und mehr;Hamburg;West;m;77;Mittlerer Bildungsabschl;nein;eine Person;eine Person;CDU/CSU;ja;1000 bis unter 1500;Festnetz;etwa so viel wie die anderen europäischen Staaten auch;mehr tun;stärker als bisher unterstützen sollte,;ihre gemeinsame Asylpolitik überarbeiten;sehr gut;weiß nicht, keine Angabe;stimme voll und ganz zu;stimme voll und ganz zu;stimme eher zu;stimme eher nicht zu;stimme eher zu;stimme eher zu;stimme eher zu;stimme eher zu;habe gemacht;kann ich mir vorstellen zu tun;kann ich mir nicht vorstellen zu tun;kann ich mir vorstellen zu tun;kann ich mir vorstellen zu tun;berechtigter Grund;berechtigter Grund;berechtigter Grund;kein berechtigter Grund;berechtigter Grund;berechtigter Grund
6609;1.0.0 (2016-01-11);doi:10.4232/1.12432;2043037;,11769;2015/05/12;500000 und mehr;Hamburg;West;w;66;Studium;nein;eine Person;eine Person;SPD;ja;2000 bis unter 2500;Festnetz;etwa so viel wie die anderen europäischen Staaten auch;so viel tun, wie bisher;stärker als bisher unterstützen sollte,;ihre gemeinsame Asylpolitik überarbeiten;eher gut;ja;stimme gar nicht zu;stimme eher nicht zu;stimme eher zu;stimme eher nicht zu;stimme eher nicht zu;stimme eher zu;stimme eher zu;stimme voll und ganz zu;habe gemacht;habe gemacht;kann ich mir nicht vorstellen zu tun;kann ich mir vorstellen zu tun;kann ich mir nicht vorstellen zu tun;berechtigter Grund;kein berechtigter Grund;berechtigter Grund;berechtigter Grund;kein berechtigter Grund;berechtigter Grund
6609;1.0.0 (2016-01-11);doi:10.4232/1.12432;2157174;4,676771;2015/05/12;5000 bis 20000;Nordrhein-Westfalen;West;m;48;Volks-, Hauptschule;ja;drei;drei;weiß nicht, keine Angabe;ja;1000 bis unter 1500;Mobilfunk;mehr;weniger tun;oder sollte Deutschland diese Länder nicht stärker unterstützen?;ihre gemeinsame Asylpolitik überarbeiten;eher gut;nein;stimme eher zu;stimme gar nicht zu;stimme eher zu;stimme gar nicht zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme eher zu;stimme eher zu;kann ich mir nicht vorstellen zu tun;kann ich mir nicht vorstellen zu tun;kann ich mir nicht vorstellen zu tun;kann ich mir nicht vorstellen zu tun;kann ich mir nicht vorstellen zu tun;berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund
6609;1.0.0 (2016-01-11);doi:10.4232/1.12432;2158658;7,84621;2015/05/12;100000 bis 500000;Nordrhein-Westfalen;West;m;33;Mittlerer Bildungsabschl;ja;fuenf und mehr;zwei; ;nein;4000 bis unter 5000;Mobilfunk;weiß nicht, keine Angabe;mehr tun;stärker als bisher unterstützen sollte,;ihre gemeinsame Asylpolitik überarbeiten;sehr schlecht;ja;stimme voll und ganz zu;stimme eher nicht zu;stimme eher nicht zu;stimme eher nicht zu;stimme gar nicht zu;stimme gar nicht zu;stimme voll und ganz zu;stimme eher nicht zu;habe gemacht;kann ich mir vorstellen zu tun;kann ich mir vorstellen zu tun;kann ich mir vorstellen zu tun;kann ich mir vorstellen zu tun;berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund
6609;1.0.0 (2016-01-11);doi:10.4232/1.12432;2243308;2,785773;2015/05/12;20000 bis 50000;Niedersachsen;West;m;39;Mittlerer Bildungsabschl;ja;eine Person;eine Person;würde nicht wählen;ja;2000 bis unter 2500;Mobilfunk;mehr;mehr tun;stärker als bisher unterstützen sollte,;ihre gemeinsame Asylpolitik überarbeiten;eher schlecht;nein;stimme gar nicht zu;stimme gar nicht zu;stimme gar nicht zu;stimme eher nicht zu;stimme gar nicht zu;stimme gar nicht zu;stimme voll und ganz zu;stimme eher nicht zu;habe gemacht;habe gemacht;weiß nicht, keine Angabe;kann ich mir vorstellen zu tun;habe gemacht;berechtigter Grund;kein berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund
6609;1.0.0 (2016-01-11);doi:10.4232/1.12432;2251662;,207275;2015/05/12;100000 bis 500000;Nordrhein-Westfalen;West;w;59;Abitur;ja;zwei;zwei;CDU/CSU;ja;2500 bis unter 3000;Mobilfunk;mehr;so viel tun, wie bisher;weiß nicht, keine Angabe;ihre gemeinsame Asylpolitik überarbeiten;eher gut;ja;weiß nicht, keine Angabe;stimme gar nicht zu;stimme gar nicht zu;stimme eher nicht zu;stimme eher zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme eher nicht zu;habe gemacht;kann ich mir vorstellen zu tun;kann ich mir nicht vorstellen zu tun;habe gemacht;habe gemacht;berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund;kein berechtigter Grund;berechtigter Grund
6609;1.0.0 (2016-01-11);doi:10.4232/1.12432;2260780;,413992;2015/05/12;100000 bis 500000;Nordrhein-Westfalen;West;m;50;Mittlerer Bildungsabschl;ja;zwei;eine Person;SPD;ja;keine Angabe;Mobilfunk;etwa so viel wie die anderen europäischen Staaten auch;so viel tun, wie bisher;stärker als bisher unterstützen sollte,;oder sollte die EU an ihrer bisherigen Asylpolitik festhalten?;eher gut;ja;stimme eher zu;stimme eher zu;stimme eher nicht zu;stimme eher zu;stimme eher zu;stimme eher nicht zu;stimme voll und ganz zu;stimme eher nicht zu;kann ich mir nicht vorstellen zu tun;kann ich mir vorstellen zu tun;kann ich mir vorstellen zu tun;habe gemacht;kann ich mir nicht vorstellen zu tun;berechtigter Grund;berechtigter Grund;kein berechtigter Grund;kein berechtigter Grund;berechtigter Grund;kein berechtigter Grund
6609;1.0.0 (2016-01-11);doi:10.4232/1.12432;2269054;,734981;2015/05/12;100000 bis 500000;Rheinland-Pfalz;West;w;23;Studium;nein;vier;vier;Bündnis `90, Die Grünen;ja;keine Angabe;Mobilfunk;mehr;mehr tun;stärker als bisher unterstützen sollte,;ihre gemeinsame Asylpolitik überarbeiten;eher gut;nein;stimme gar nicht zu;stimme eher zu;stimme voll und ganz zu;stimme eher zu;stimme gar nicht zu;stimme gar nicht zu;stimme eher zu;stimme eher zu;kann ich mir vorstellen zu tun;habe gemacht;kann ich mir vorstellen zu tun;kann ich mir vorstellen zu tun;habe gemacht;berechtigter Grund;kein berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund
6609;1.0.0 (2016-01-11);doi:10.4232/1.12432;2273702;3,885587;2015/05/12;100000 bis 500000;Baden-Württemberg;West;w;22;Volks-, Hauptschule;ja;drei;drei;weiß nicht, keine Angabe;ja;keine Angabe;Mobilfunk;mehr;so viel tun, wie bisher;stärker als bisher unterstützen sollte,;ihre gemeinsame Asylpolitik überarbeiten;eher schlecht;nein;stimme eher nicht zu;stimme eher nicht zu;stimme voll und ganz zu;stimme gar nicht zu;stimme eher zu;stimme eher zu;stimme gar nicht zu;stimme eher nicht zu;kann ich mir nicht vorstellen zu tun;habe gemacht;kann ich mir nicht vorstellen zu tun;kann ich mir nicht vorstellen zu tun;kann ich mir nicht vorstellen zu tun;berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund
6609;1.0.0 (2016-01-11);doi:10.4232/1.12432;2274338;,96297;2015/05/12;20000 bis 50000;Brandenburg;Ost;m;53;Mittlerer Bildungsabschl;ja;vier;vier;AfD;ja;keine Angabe;Mobilfunk;weiß nicht, keine Angabe;weiß nicht, keine Angabe;weiß nicht, keine Angabe;ihre gemeinsame Asylpolitik überarbeiten;weiß nicht, keine Angabe;ja;stimme eher zu;stimme eher zu;stimme eher zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme eher zu;stimme voll und ganz zu;stimme eher nicht zu;kann ich mir nicht vorstellen zu tun;kann ich mir nicht vorstellen zu tun;kann ich mir nicht vorstellen zu tun;kann ich mir nicht vorstellen zu tun;kann ich mir nicht vorstellen zu tun;berechtigter Grund;weiß nicht, keine Angabe;berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund
6609;1.0.0 (2016-01-11);doi:10.4232/1.12432;2277369;,507406;2015/05/12;2000 bis 5000;Niedersachsen;West;m;23;Mittlerer Bildungsabschl;ja;drei;drei;weiß nicht, keine Angabe;ja;keine Angabe;Mobilfunk;weiß nicht, keine Angabe;so viel tun, wie bisher;oder sollte Deutschland diese Länder nicht stärker unterstützen?;ihre gemeinsame Asylpolitik überarbeiten;eher schlecht;ja;stimme voll und ganz zu;stimme eher nicht zu;stimme eher zu;stimme eher nicht zu;stimme voll und ganz zu;stimme eher zu;stimme eher zu;stimme eher zu;kann ich mir vorstellen zu tun;habe gemacht;kann ich mir nicht vorstellen zu tun;kann ich mir vorstellen zu tun;kann ich mir vorstellen zu tun;weiß nicht, keine Angabe;kein berechtigter Grund;kein berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund
6609;1.0.0 (2016-01-11);doi:10.4232/1.12432;2282167;,432157;2015/05/12;20000 bis 50000;Thüringen;Ost;m;53;Mittlerer Bildungsabschl;ja;eine Person;eine Person;weiß nicht, keine Angabe;ja;500 bis unter 1000;Mobilfunk;etwa so viel wie die anderen europäischen Staaten auch;mehr tun;stärker als bisher unterstützen sollte,;ihre gemeinsame Asylpolitik überarbeiten;sehr gut;ja;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;weiß nicht, keine Angabe;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;kann ich mir nicht vorstellen zu tun;kann ich mir vorstellen zu tun;kann ich mir nicht vorstellen zu tun;kann ich mir vorstellen zu tun;kann ich mir vorstellen zu tun;berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund;kein berechtigter Grund
6609;1.0.0 (2016-01-11);doi:10.4232/1.12432;2284727;,349492;2015/05/12;500000 und mehr;Nordrhein-Westfalen;West;m;49;Abitur;ja;drei;drei;weiß nicht, keine Angabe;ja;3000 bis unter 3500;Mobilfunk;mehr;so viel tun, wie bisher;oder sollte Deutschland diese Länder nicht stärker unterstützen?;ihre gemeinsame Asylpolitik überarbeiten;eher gut;nein;stimme eher nicht zu;stimme eher nicht zu;stimme eher nicht zu;stimme eher zu;stimme eher zu;stimme eher nicht zu;stimme eher zu;stimme eher nicht zu;kann ich mir nicht vorstellen zu tun;kann ich mir vorstellen zu tun;kann ich mir nicht vorstellen zu tun;kann ich mir vorstellen zu tun;kann ich mir vorstellen zu tun;berechtigter Grund;kein berechtigter Grund;berechtigter Grund;berechtigter Grund;kein berechtigter Grund;berechtigter Grund
6609;1.0.0 (2016-01-11);doi:10.4232/1.12432;2300318;,471488;2015/05/12;500000 und mehr;Berlin;West;m;29;Studium;ja;zwei;zwei;weiß nicht, keine Angabe;ja;2500 bis unter 3000;Mobilfunk;etwa so viel wie die anderen europäischen Staaten auch;mehr tun;stärker als bisher unterstützen sollte,;ihre gemeinsame Asylpolitik überarbeiten;weiß nicht, keine Angabe;weiß nicht, keine Angabe;stimme eher nicht zu;stimme eher zu;stimme eher zu;stimme eher zu;stimme eher nicht zu;stimme eher nicht zu;stimme eher nicht zu;weiß nicht, keine Angabe;kann ich mir vorstellen zu tun;kann ich mir vorstellen zu tun;kann ich mir nicht vorstellen zu tun;habe gemacht;habe gemacht;berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund
6609;1.0.0 (2016-01-11);doi:10.4232/1.12432;2304731;1,510967;2015/05/12;500000 und mehr;Bayern;West;m;18;Schüler;nein;vier;vier;CDU/CSU;ja;3000 bis unter 3500;Mobilfunk;mehr;so viel tun, wie bisher;oder sollte Deutschland diese Länder nicht stärker unterstützen?;ihre gemeinsame Asylpolitik überarbeiten;eher schlecht;ja;stimme eher nicht zu;stimme eher nicht zu;stimme eher zu;stimme eher zu;stimme eher zu;stimme voll und ganz zu;stimme eher nicht zu;stimme eher zu;kann ich mir vorstellen zu tun;kann ich mir vorstellen zu tun;kann ich mir nicht vorstellen zu tun;kann ich mir vorstellen zu tun;kann ich mir nicht vorstellen zu tun;berechtigter Grund;kein berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund;berechtigter Grund
6609;1.0.0 (2016-01-11);doi:10.4232/1.12432;2312948;,964499;2015/05/12;20000 bis 50000;Sachsen-Anhalt;Ost;m;28;Mittlerer Bildungsabschl;ja;eine Person;eine Person;sonstige;ja;2500 bis unter 3000;Mobilfunk;mehr;weniger tun;stärker als bisher unterstützen sollte,;ihre gemeinsame Asylpolitik überarbeiten;sehr schlecht;ja;stimme voll und ganz zu;stimme gar nicht zu;stimme gar nicht zu;stimme eher nicht zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme gar nicht zu;stimme gar nicht zu;kann ich mir nicht vorstellen zu tun;kann ich mir nicht vorstellen zu tun;kann ich mir nicht vorstellen zu tun;kann ich mir nicht vorstellen zu tun;kann ich mir nicht vorstellen zu tun;berechtigter Grund;kein berechtigter Grund;kein berechtigter Grund;kein berechtigter Grund;kein berechtigter Grund;kein berechtigter Grund
