za_nr;version;doi;lfd;gewicht;q1;q2;q3;q4;q5;q6;q7;q8;q9;q9_00;q9_01;q9_02;q9_03;q9_04;q9_05;q9_06;q9_07;q9_99;q10;q11;q11_00;q11_01;q11_02;q11_03;q11_04;q11_05;q11_06;q11_07;q11_08;q11_09;q11_10;q11_12;q11_13;q11_14;q11_15;q11_16;q11_17;q11_18;q11_19;q11_20;q11_98;q11_99;q12a;q12b;q13;q14a;q14b;q14c;q14d;q14e;q14f;q14g;q14h;q15a;q15b;q15c;q15d;q15e;q16a;q16b;q16c;q16d;q16e;q17;q18;q19;q20;q21;q22;q23;q24;q25a;q25b;q25c;q25d;q25e;q26;q27a;q27b;q27c;q27d;q27e;q27f;q27g;q27aa;q27ab;q27ac;q27ad;q27ae;q27af;q27ag;q27ah;q27ai;q27ak;q28;q29m01;q29m02;q29m03;q30;q31;s1;s2;s3;s4;s4a;s4b;s5;s5a;s5b;s6;s7;s8;gkbik;gkpol;land
6603;1.0.0 (2016-01-11);doi:10.4232/1.12426;55;1,38117335235251;wichtiges Thema;gewinnen;schlecht;Nein;Filter;Filter;Filter;Filter; ;Gefiltert;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Filter; ;Gefiltert;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Filter;ja, auf alle Fälle;... einen (ambulanten) Pflegedienst;stimme eher nicht zu;stimme eher zu;stimme eher nicht zu;stimme überhaupt nicht zu;stimme überhaupt nicht zu;stimme überhaupt nicht zu;weiß nicht;stimme eher nicht zu;etwas Vertrauen;großes Vertrauen;etwas Vertrauen;kein Vertrauen;großes Vertrauen;Filter;Filter;Filter;Filter;Filter;sehr gut;eher gute Sache;Ja, ist gerecht;Nein, ist nicht gerecht;Gesetzlich krankenversichert (auch mitversichert);nein;nein;A: Die GPV sollte möglichst umfassend absichern;stimme voll und ganz zu;stimme eher nicht zu;stimme überhaupt nicht zu;stimme überhaupt nicht zu;stimme eher zu;nicht richtig;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme eher zu;stimme eher zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme eher zu;stimme voll und ganz zu;stimme eher zu;stimme voll und ganz zu;stimme eher zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;nein;Filter;Filter;Filter;eher unzufrieden;untere Mittelschicht;weiblich;72;Hauptschule mit Lehre;nein (auch arbeitslos, Azubi);Filter;im Ruhestand;1;1;0;Geschieden;von 750 bis unter 1.000 Euro;keine Partei / weiß nicht;100000 bis unter 500000 Einwohner / Strukturtyp 1;50000 bis unter 100000 Einwohner;Baden-Württemberg
6603;1.0.0 (2016-01-11);doi:10.4232/1.12426;56;,789681081308242;sehr wichtiges Thema;gewinnen;gut;Nein;Filter;Filter;Filter;Filter; ;Gefiltert;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Filter; ;Gefiltert;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Filter;ja, unter gewissen Umständen;... einen (ambulanten) Pflegedienst;stimme überhaupt nicht zu;stimme eher nicht zu;stimme überhaupt nicht zu;stimme voll und ganz zu;stimme eher zu;stimme überhaupt nicht zu;stimme voll und ganz zu;stimme eher nicht zu;großes Vertrauen;etwas Vertrauen;kein Vertrauen;kein Vertrauen;großes Vertrauen;Filter;Filter;Filter;Filter;Filter;nicht so gut;eher gute Sache;Nein, ist nicht gerecht;Nein, ist nicht gerecht;Gesetzlich krankenversichert (auch mitversichert);ja;Filter;A: Die GPV sollte möglichst umfassend absichern;stimme voll und ganz zu;stimme eher zu;stimme überhaupt nicht zu;stimme überhaupt nicht zu;stimme voll und ganz zu;richtig;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;nein;Filter;Filter;Filter;eher unzufrieden;Mittelschicht;weiblich;43;Mittlere Reife;ja;einfache(r) oder mittlere(r) Angestellte(r)/ Beamte(r);Filter;2;2;0;Ledig und in einer Partnerschaft lebend;keine Angabe;keine Partei / weiß nicht;20000 bis unter 50000 Einwohner;2000 bis unter 5000 Einwohner;Mecklenburg-Vorpommern
6603;1.0.0 (2016-01-11);doi:10.4232/1.12426;57;,594039168832245;wichtiges Thema;gewinnen;gut;Ja;eine Person;In deren eigenem Haushalt;Nein, war nicht erforderlich;Filter;02,;Nicht gefiltert;Nicht genannt;Genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;eher gut; ;Gefiltert;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Filter;Filter;... Familie/Verwandte;stimme eher zu;stimme eher nicht zu;weiß nicht;stimme eher nicht zu;stimme eher zu;stimme überhaupt nicht zu;stimme eher zu;stimme eher zu;etwas Vertrauen;etwas Vertrauen;etwas Vertrauen;großes Vertrauen;etwas Vertrauen;keine Bewertung möglich;keine Bewertung möglich;keine Bewertung möglich;teils /teils;eher zufrieden;nicht so gut;eher gute Sache;Ja, ist gerecht;Ja, ist gerecht;Gesetzlich krankenversichert (auch mitversichert);nein;ja;A: Die GPV sollte möglichst umfassend absichern;stimme eher zu;stimme eher nicht zu;stimme eher nicht zu;stimme eher nicht zu;stimme eher nicht zu;richtig;stimme eher zu;stimme eher zu;stimme eher zu;stimme eher nicht zu;stimme eher zu;stimme eher nicht zu;stimme eher nicht zu;weiß nicht;weiß nicht;stimme voll und ganz zu;stimme eher zu;weiß nicht;weiß nicht;stimme eher zu;stimme eher zu;weiß nicht;stimme eher zu;weiß nicht/kein Urteil;Filter;Filter;Filter;eher zufrieden;untere Mittelschicht;männlich;18;Mittlere Reife;nein (auch arbeitslos, Azubi);Filter;Schüler(in), Student(in);2;2;0;Ledig und allein lebend;keine Angabe;keine Partei / weiß nicht;100000 bis unter 500000 Einwohner / Strukturtyp 1;100000 bis unter 500000 Einwohner;Nordrhein-Westfalen
6603;1.0.0 (2016-01-11);doi:10.4232/1.12426;58;,454390377040539;sehr wichtiges Thema;gewinnen;gut;Ja;eine Person;In deren eigenem Haushalt;Ja, Pflegestufe beantragt;Pflegestufe 1;01,02,;Nicht gefiltert;Genannt;Genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;sehr gut; ;Gefiltert;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;ja, unter gewissen Umständen;Filter;... eine eigene Pflegekraft;stimme überhaupt nicht zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme überhaupt nicht zu;stimme eher nicht zu;stimme überhaupt nicht zu;stimme eher nicht zu;stimme eher zu;etwas Vertrauen;großes Vertrauen;kein Vertrauen;kein Vertrauen;etwas Vertrauen;keine Bewertung möglich;eher zufrieden;keine Bewertung möglich;keine Bewertung möglich;teils /teils;gut;eher gute Sache;Ja, ist gerecht;Nein, ist nicht gerecht;Privat krankenversichert;ja;Filter;A: Die GPV sollte möglichst umfassend absichern;stimme voll und ganz zu;stimme eher nicht zu;stimme eher nicht zu;stimme überhaupt nicht zu;stimme voll und ganz zu;richtig;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;nein;"Bürokratische Hürden/ Aufwand abbauen; schnellere+kulantere";Filter;Filter;eher unzufrieden;obere Mittelschicht;weiblich;65;Studium;nein (auch arbeitslos, Azubi);Filter;im Ruhestand;3;3;0;Ledig und allein lebend;von 3.500 bis unter 4.000 Euro;SPD;500000 und mehr Einwohner / Strukturtyp 1;500000 und mehr Einwohner;Berlin
6603;1.0.0 (2016-01-11);doi:10.4232/1.12426;59;,996656280237805;wichtiges Thema;gewinnen;gut;Nein;Filter;Filter;Filter;Filter; ;Gefiltert;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Filter; ;Gefiltert;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Filter;ja, unter gewissen Umständen;... eine eigene Pflegekraft;weiß nicht;stimme eher zu;weiß nicht;stimme eher zu;weiß nicht;stimme eher nicht zu;weiß nicht;stimme eher zu;etwas Vertrauen;etwas Vertrauen;großes Vertrauen;etwas Vertrauen;etwas Vertrauen;Filter;Filter;Filter;Filter;Filter;nicht so gut;eher gute Sache;Ja, ist gerecht;Ja, ist gerecht;Privat krankenversichert;ja;Filter;B: Die GPV sollte nur das medizinisch Notwendige absichern;stimme eher nicht zu;stimme eher nicht zu;stimme eher zu;stimme eher nicht zu;stimme eher zu;richtig;stimme voll und ganz zu;stimme eher zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme eher zu;stimme eher nicht zu;stimme eher zu;stimme voll und ganz zu;stimme eher zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme eher zu;stimme eher zu;stimme voll und ganz zu;weiß nicht;stimme voll und ganz zu;stimme eher zu;ja;Filter;Filter;Filter;eher zufrieden;obere Mittelschicht;männlich;44;Studium;ja;einfache(r) oder mittlere(r) Angestellte(r)/ Beamte(r);Filter;3;2;0;Verheiratet;keine Angabe;keine Partei / weiß nicht;100000 bis unter 500000 Einwohner / Strukturtyp 2/3;2000 bis unter 5000 Einwohner;Rheinland-Pfalz
6603;1.0.0 (2016-01-11);doi:10.4232/1.12426;60;,473507761968223;wichtiges Thema;gewinnen;weiß nicht;Nein;Filter;Filter;Filter;Filter; ;Gefiltert;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Filter; ;Gefiltert;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Filter;ja, unter gewissen Umständen;... einen (ambulanten) Pflegedienst;stimme eher nicht zu;stimme voll und ganz zu;stimme eher zu;stimme eher zu;stimme eher nicht zu;stimme eher nicht zu;stimme eher zu;stimme voll und ganz zu;etwas Vertrauen;etwas Vertrauen;etwas Vertrauen;etwas Vertrauen;etwas Vertrauen;Filter;Filter;Filter;Filter;Filter;gut;eher gute Sache;Ja, ist gerecht;Ja, ist gerecht;Privat krankenversichert;nein;ja;B: Die GPV sollte nur das medizinisch Notwendige absichern;stimme voll und ganz zu;stimme eher zu;stimme überhaupt nicht zu;stimme überhaupt nicht zu;stimme überhaupt nicht zu;richtig;stimme voll und ganz zu;stimme eher zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme eher zu;stimme eher nicht zu;stimme eher zu;stimme eher zu;stimme voll und ganz zu;stimme eher zu;stimme voll und ganz zu;stimme eher zu;stimme eher zu;stimme eher zu;ja;Filter;Filter;Filter;eher unzufrieden;Mittelschicht;männlich;46;Studium;ja;einfache(r) oder mittlere(r) Angestellte(r)/ Beamte(r);Filter;5;2;2;Verheiratet;von 2.500 bis unter 3.000 Euro;Bündnis '90 / Die Grünen;500000 und mehr Einwohner / Strukturtyp 1;500000 und mehr Einwohner;Bayern
6603;1.0.0 (2016-01-11);doi:10.4232/1.12426;61;,773190612539675;sehr wichtiges Thema;sich nicht wesentlich verändern;sehr gut;Ja;eine Person;In deren eigenem Haushalt;Ja, Pflegestufe beantragt;Pflegestufe 3;02,05,;Nicht gefiltert;Nicht genannt;Genannt;Nicht genannt;Nicht genannt;Genannt;Nicht genannt;Nicht genannt;Nicht genannt;eher schlecht;07,09,;Nicht gefiltert;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Genannt;Nicht genannt;Genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Filter;Filter;... Familie/Verwandte;stimme überhaupt nicht zu;stimme voll und ganz zu;stimme eher nicht zu;stimme überhaupt nicht zu;stimme eher nicht zu;stimme eher nicht zu;stimme voll und ganz zu;stimme überhaupt nicht zu;etwas Vertrauen;etwas Vertrauen;etwas Vertrauen;etwas Vertrauen;etwas Vertrauen;teils /teils;eher unzufrieden;eher zufrieden;teils /teils;teils /teils;gut;eher gute Sache;Ja, ist gerecht;Nein, ist nicht gerecht;Gesetzlich krankenversichert (auch mitversichert);nein;nein;A: Die GPV sollte möglichst umfassend absichern;stimme voll und ganz zu;stimme eher nicht zu;stimme überhaupt nicht zu;stimme überhaupt nicht zu;stimme voll und ganz zu;richtig;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;nein;Filter;Filter;Filter;eher unzufrieden;untere Mittelschicht;männlich;52;Abitur;ja;einfache(r) oder mittlere(r) Angestellte(r)/ Beamte(r);Filter;4;3;1;Ledig und in einer Partnerschaft lebend;von 1.500 bis unter 2.000 Euro;Die Linke;20000 bis unter 50000 Einwohner;5000 bis unter 20000 Einwohner;Brandenburg
6603;1.0.0 (2016-01-11);doi:10.4232/1.12426;62;,892289751033132;sehr wichtiges Thema;gewinnen;weniger gut;Nein;Filter;Filter;Filter;Filter; ;Gefiltert;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Filter; ;Gefiltert;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Filter;ja, unter gewissen Umständen;... einen (ambulanten) Pflegedienst;stimme eher nicht zu;stimme eher zu;weiß nicht;stimme voll und ganz zu;stimme eher zu;stimme eher nicht zu;stimme voll und ganz zu;stimme voll und ganz zu;etwas Vertrauen;etwas Vertrauen;etwas Vertrauen;etwas Vertrauen;kein Vertrauen;Filter;Filter;Filter;Filter;Filter;nicht so gut;eher gute Sache;Ja, ist gerecht;Ja, ist gerecht;Gesetzlich krankenversichert (auch mitversichert);nein;nein;B: Die GPV sollte nur das medizinisch Notwendige absichern;stimme voll und ganz zu;stimme eher nicht zu;stimme überhaupt nicht zu;stimme voll und ganz zu;stimme voll und ganz zu;nicht richtig;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme eher zu;stimme voll und ganz zu;stimme eher zu;stimme voll und ganz zu;stimme eher zu;stimme eher zu;stimme voll und ganz zu;stimme eher zu;stimme voll und ganz zu;stimme eher nicht zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme eher zu;stimme eher nicht zu;ja;Filter;Filter;Filter;eher zufrieden;obere Mittelschicht;weiblich;50;Studium;nein (auch arbeitslos, Azubi);Filter;Hausfrau/ Hausmann;3;3;0;Verheiratet;4.000 Euro und mehr;CDU/CSU;100000 bis unter 500000 Einwohner / Strukturtyp 2/3;2000 bis unter 5000 Einwohner;Hessen
6603;1.0.0 (2016-01-11);doi:10.4232/1.12426;63;1,52090265502749;sehr wichtiges Thema;gewinnen;gut;Ja;mehrere Personen;In deren eigenem Haushalt;Ja, Pflegestufe beantragt;Pflegestufe 1;02,;Nicht gefiltert;Nicht genannt;Genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;sehr gut; ;Gefiltert;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Filter;Filter;kann ich nicht beurteilen/ weiß (noch) nicht;stimme voll und ganz zu;weiß nicht;stimme voll und ganz zu;stimme eher zu;stimme eher nicht zu;stimme überhaupt nicht zu;stimme eher zu;stimme eher zu;etwas Vertrauen;großes Vertrauen;großes Vertrauen;etwas Vertrauen;etwas Vertrauen;weiß nicht;weiß nicht;weiß nicht;eher zufrieden;teils /teils;nicht so gut;eher gute Sache;Ja, ist gerecht;Ja, ist gerecht;Gesetzlich krankenversichert (auch mitversichert);nein;ja;A: Die GPV sollte möglichst umfassend absichern;stimme voll und ganz zu;stimme eher nicht zu;stimme eher nicht zu;stimme eher nicht zu;stimme überhaupt nicht zu;richtig;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme eher nicht zu;stimme eher zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;nein;Filter;Filter;Filter;eher unzufrieden;untere Mittelschicht;weiblich;51;Mittlere Reife;ja;einfache(r) oder mittlere(r) Angestellte(r)/ Beamte(r);Filter;5;4;1;Verheiratet;von 2.000 bis unter 2.500 Euro;keine Partei / weiß nicht;unter 2000 Einwohner;unter 2000 Einwohner;Bayern
6603;1.0.0 (2016-01-11);doi:10.4232/1.12426;64;,986877330272429;wichtiges Thema;gewinnen;gut;Ja;mehrere Personen;In deren eigenem Haushalt;Ja, Pflegestufe beantragt;Pflegestufe 2;02,06,;Nicht gefiltert;Nicht genannt;Genannt;Nicht genannt;Nicht genannt;Nicht genannt;Genannt;Nicht genannt;Nicht genannt;sehr gut; ;Gefiltert;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Filter;Filter;kann ich nicht beurteilen/ weiß (noch) nicht;stimme eher zu;stimme eher nicht zu;stimme eher zu;stimme überhaupt nicht zu;stimme eher nicht zu;stimme überhaupt nicht zu;stimme eher zu;stimme eher nicht zu;etwas Vertrauen;großes Vertrauen;großes Vertrauen;großes Vertrauen;großes Vertrauen;keine Bewertung möglich;eher zufrieden;keine Bewertung möglich;eher zufrieden;eher zufrieden;gut;kann ich nicht beurteilen/ weiß nicht;Ja, ist gerecht;Nein, ist nicht gerecht;Gesetzlich krankenversichert (auch mitversichert);ja;Filter;A: Die GPV sollte möglichst umfassend absichern;stimme voll und ganz zu;stimme eher nicht zu;stimme eher nicht zu;stimme eher nicht zu;stimme eher zu;richtig;stimme eher zu;stimme eher zu;stimme eher zu;stimme eher zu;stimme eher zu;stimme eher zu;stimme voll und ganz zu;stimme eher zu;stimme eher zu;stimme eher zu;stimme eher zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme eher zu;stimme eher zu;stimme voll und ganz zu;stimme voll und ganz zu;nein;Filter;Filter;Filter;eher zufrieden;Mittelschicht;weiblich;31;Abitur;nein (auch arbeitslos, Azubi);Filter;Hausfrau/ Hausmann;3;2;0;Verheiratet;von 3.500 bis unter 4.000 Euro;SPD;100000 bis unter 500000 Einwohner / Strukturtyp 2/3;5000 bis unter 20000 Einwohner;Niedersachsen
6603;1.0.0 (2016-01-11);doi:10.4232/1.12426;65;,184862030105628;sehr wichtiges Thema;sich nicht wesentlich verändern;schlecht;Ja;mehrere Personen;In deren eigenem Haushalt;Ja, Pflegestufe beantragt;Pflegestufe 1;01,;Nicht gefiltert;Genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;eher gut; ;Gefiltert;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;ja, auf alle Fälle;Filter;kann ich nicht beurteilen/ weiß (noch) nicht;stimme eher zu;stimme eher nicht zu;stimme eher nicht zu;stimme überhaupt nicht zu;stimme voll und ganz zu;stimme überhaupt nicht zu;stimme eher nicht zu;stimme eher nicht zu;kein Vertrauen;etwas Vertrauen;etwas Vertrauen;kein Vertrauen;kein Vertrauen;eher unzufrieden;teils /teils;teils /teils;teils /teils;teils /teils;sehr gut;eher gute Sache;Ja, ist gerecht;Nein, ist nicht gerecht;Gesetzlich krankenversichert (auch mitversichert);nein;nein;A: Die GPV sollte möglichst umfassend absichern;stimme voll und ganz zu;stimme überhaupt nicht zu;stimme überhaupt nicht zu;stimme überhaupt nicht zu;stimme überhaupt nicht zu;nicht richtig;stimme voll und ganz zu;weiß nicht;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme eher zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme eher nicht zu;stimme voll und ganz zu;nein;"Bürokratische Hürden/ Aufwand abbauen; schnellere+kulantere";Filter;Filter;sehr unzufrieden;Mittelschicht;weiblich;67;Studium;nein (auch arbeitslos, Azubi);Filter;im Ruhestand;1;1;0;Ledig und allein lebend;von 1.000 bis unter 1.250 Euro;Die Linke;500000 und mehr Einwohner / Strukturtyp 1;500000 und mehr Einwohner;Berlin
6603;1.0.0 (2016-01-11);doi:10.4232/1.12426;66;1,07045968775453;wichtiges Thema;sich nicht wesentlich verändern;gut;Ja;eine Person;In Ihrem Haushalt;Ja, Pflegestufe beantragt;Pflegestufe 3;05,;Nicht gefiltert;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Genannt;Nicht genannt;Nicht genannt;Nicht genannt;eher gut; ;Gefiltert;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Nicht genannt;Filter;Filter;... einen (ambulanten) Pflegedienst;stimme eher nicht zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme eher nicht zu;stimme voll und ganz zu;stimme voll und ganz zu;etwas Vertrauen;großes Vertrauen;etwas Vertrauen;etwas Vertrauen;etwas Vertrauen;teils /teils;teils /teils;keine Bewertung möglich;teils /teils;teils /teils;nicht so gut;kann ich nicht beurteilen/ weiß nicht;Ja, ist gerecht;Ja, ist gerecht;Gesetzlich krankenversichert (auch mitversichert);nein;ja;A: Die GPV sollte möglichst umfassend absichern;stimme voll und ganz zu;stimme eher nicht zu;stimme voll und ganz zu;stimme eher nicht zu;stimme voll und ganz zu;richtig;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;stimme voll und ganz zu;nein;Filter;Filter;Filter;eher zufrieden;Arbeiterschicht;männlich;50;Mittlere Reife;ja;Facharbeiter(in), Meister(in), Polier(in);Filter;3;2;1;Ledig und in einer Partnerschaft lebend;von 1.000 bis unter 1.250 Euro;keine Partei / weiß nicht;500000 und mehr Einwohner / Strukturtyp 2/3;20000 bis unter 50000 Einwohner;Brandenburg
